No.,Nombre_montana,Altura,Score,Vistas,Ubicacion
248,"""Pico de Orizaba""",5636,99.85%,324388,"""Puebla,Mexico,NorthAmerica"""
249,"""Nevado Pichu Pichu""",5635,89.01%,17644,"""Arequipa,Peru,SouthAmerica"""
250,"""Nevado Mismi""",5628,80.86%,21995,"""Arequipa,Peru,SouthAmerica"""
251,"""Damavand""",5609,97.69%,97173,"""Iran,Asia"""
252,"""Cerro Toco""",5604,82.31%,19971,"""Chile,SouthAmerica"""
253,"""Cerro Negro""",5600,76.47%,9230,"""SanJuan,Argentina,SouthAmerica"""
254,"""Seerdengpu (Yerenfuan, Wildman Peak)""",5592,84.73%,13535,"""SichuanProvince,China,Asia"""
255,"""Lascar Volcano""",5592,87.12%,29606,"""SanPedrodeAtacama,Chile,SouthAmerica"""
256,"""Ascarani""",5580,79.78%,7885,"""CordilleraApolobamba,Bolivia,SouthAmerica"""
257,"""Chukkung Ri / Chhukung Ri""",5559,82.44%,25270,"""Khumbu,Nepal,Asia"""
258,"""Pik Agamau (Pik Agamał, Пик Агамал) 5553m, Muzkol Pamir""",5553,0%,48,"""MuzkolPamir,Tajikistan,Asia"""
259,"""Zangchen""",5538,81.03%,8509,"""Tibet,China,Asia"""
260,"""Ala Izquierda""",5532,81.84%,9225,"""Bolivia,SouthAmerica"""
261,"""Ishinca""",5530,92.72%,51234,"""Ancash,CordilleraBlanca,Peru,SouthAmerica"""
262,"""Cerro Chorolque""",5520,84.27%,7391,"""PotosiDistrict,Bolivia,SouthAmerica"""
263,"""Millishraju I - Millishraju II""",5510,84.82%,2943,"""Ancash,CordilleraBlanca,Peru,SouthAmerica"""
264,"""Yala Peak""",5500,84.82%,17889,"""LangtangRegion,Nepal,Asia"""
265,"""Nevado Qampa""",5500,0%,1572,"""Peru,SouthAmerica"""
266,"""La Mano""",5500,81.84%,13390,"""Mendoza,Argentina,SouthAmerica"""
267,"""Nevado Firura""",5498,83.69%,7293,"""Arequipa,Peru,SouthAmerica"""
268,"""Churup Oeste""",5493,72.08%,13043,"""Ancash,Peru,SouthAmerica"""
269,"""Chimtarga""",5489,82.92%,14514,"""Tajikistan,Asia"""
270,"""Chimtarga""",5489,0%,2156,"""Zerafshan,Tajikistan,Asia"""
271,"""Camel(Luotuo)""",5484,78.65%,10964,"""Sichuan,China,Asia"""
272,"""Steeple (Jianzishan, Hunter Peak)""",5472,87.76%,12114,"""SichuanProvince,China,Asia"""
