No.,Nombre_montana,Altura,Score,Vistas,Ubicacion
13921,"""Music Mountain""",432,79.78%,16423,"""Arkansas,UnitedStates,NorthAmerica"""
13922,"""Pilot Knob""",430,79.16%,25142,"""Kentucky,UnitedStates,NorthAmerica"""
13923,"""Pferchfeldfelsen""",430,72.84%,2538,"""RhinelandPalatinate,Germany,Europe"""
13924,"""Saddle Mound""",429,76.66%,5610,"""Wisconsin,UnitedStates,NorthAmerica"""
13925,"""Balanesti""",429,79.78%,17597,"""Moldova,Europe"""
13926,"""Mount Wittenberg""",429,78.1%,24892,"""California,UnitedStates,NorthAmerica"""
13927,"""Rödelstein""",428,86.27%,6250,"""RheinlandPfalz,Germany,Europe"""
13928,"""Wolf Rock""",427,85.87%,16889,"""Maryland,UnitedStates,NorthAmerica"""
13929,"""Palisades (South Dakota)""",427,77.38%,9859,"""SouthDakota,UnitedStates,"""
13930,"""Dumgoyne""",427,87.76%,10700,"""Strathblane,Scotland,Europe"""
13931,"""Horseshoe Canyon Ranch""",427,87.76%,35173,"""Arkansas,UnitedStates,NorthAmerica"""
13932,"""French Point""",427,75.21%,3413,"""Washington,UnitedStates,NorthAmerica"""
13933,"""Bull Hill (Mt Taurus)""",427,80.49%,26629,"""NewYork,UnitedStates,NorthAmerica"""
13934,"""The Rock of Gibraltar""",426,80.85%,37029,"""Gibraltar,UnitedKingdom,Europe"""
13935,"""Dowdell Knob""",425,75.81%,10381,"""Georgia,UnitedStates,NorthAmerica"""
13936,"""Fensterfels, Bindersbacher Turm""",425,84.27%,5807,"""RheinlandPfalz,Germany,Europe"""
13937,"""Greenstone Ridge (Isle Royale)""",425,86.37%,28132,"""Michigan,UnitedStates,NorthAmerica"""
13938,"""Pic Paradis""",424,72.08%,4510,"""Saint-Martin,"""
13939,"""Stuarts Knob""",424,82.48%,1945,"""Virginia,UnitedStates,NorthAmerica"""
13940,"""Gora More-iz, гора Море-из""",423,74.92%,2285,"""NenetsAutonomousOkrug-ArkhangelskayaOblast',Russia,Europe"""
13941,"""Crowder's Mountain""",422,80.96%,14411,"""NorthCarolina,UnitedStates,NorthAmerica"""
13942,"""Mount Megunticook""",422,84.04%,41909,"""Maine,UnitedStates,NorthAmerica"""
13943,"""Morro de la Cagada""",421,77.48%,3761,"""Fuerteventura,Spain,Africa,Europe"""
13944,"""Rookery Mountain""",421,83.69%,3182,"""Other"""
13945,"""Lizard Peak (Tabletop)""",421,83.69%,5952,"""Arizona,UnitedStates,NorthAmerica"""
13946,"""Pyles Peak""",420,80.49%,12789,"""California,UnitedStates,NorthAmerica"""
13947,"""Cove Mountain / Hawk Rocks""",420,84.82%,32941,"""Pennsylvania,UnitedStates,NorthAmerica"""
13948,"""Peters Mountain""",420,81.05%,36131,"""Pennsylvania,UnitedStates,NorthAmerica"""
13949,"""Glåmtinden""",419,88.61%,3292,"""Lofoten,Nordland,Norway,Europe"""
13950,"""Dimberg""",419,72.08%,3798,"""RhinelandPalatinate,Germany,Europe"""
13951,"""Pissouromoutti""",419,79.04%,3674,"""SouthernCyprus,Cyprus,Europe,Asia"""
13952,"""Mount Finlayson""",419,81.75%,35989,"""BritishColumbia,Canada,NorthAmerica"""
13953,"""Sargent Mountain""",418,71.06%,9335,"""Maine,UnitedStates,NorthAmerica"""
13954,"""Mt Richards""",418,82.48%,3346,"""Other"""
13955,"""Shikellamy Rocks and Overlook""",418,78.08%,10656,"""Pennsylvania,UnitedStates,NorthAmerica"""
13956,"""Lee Mountain""",417,77.48%,8414,"""NewHampshire,UnitedStates,NorthAmerica"""
13957,"""Mont Saint-Hilaire""",415,85.7%,75302,"""Quebec,Canada,NorthAmerica"""
13958,"""Indian Hill""",415,78.27%,8708,"""Pennsylvania,UnitedStates,NorthAmerica"""
13959,"""""Badlands Peak""""",415,73.06%,3694,"""California,UnitedStates,NorthAmerica"""
13960,"""Hoellenfelsen""",414,85.78%,5076,"""RheinlandPfalz,Germany,Europe"""
13961,"""Hackensack Mt""",414,74.28%,8155,"""NewYork,UnitedStates,NorthAmerica"""
13962,"""Blue Job Mountain""",414,76.65%,60331,"""NewHampshire,UnitedStates,NorthAmerica"""
13963,"""Te Rua Manga""",413,76.66%,19977,"""CookIslands,NewZealand,Oceana"""
13964,"""Großer Hahnstein""",411,83.91%,4722,"""RheinlandPfalz,Germany,Europe"""
13965,"""Stegall Mountain""",411,88.51%,11193,"""Missouri,UnitedStates,NorthAmerica"""
13966,"""Mount Josephine""",411,80.49%,8176,"""Minnesota,UnitedStates,NorthAmerica"""
13967,"""Valencia Peak""",411,84.82%,13810,"""California,UnitedStates,NorthAmerica"""
13968,"""Craig Rossie""",410,87.88%,7383,"""Scotland,Europe"""
13969,"""Duerrensteine""",409,78.63%,4241,"""RheinlandPfalz,Germany,Europe"""
13970,"""Mount Rubidoux""",408,76.66%,18375,"""California,UnitedStates,NorthAmerica"""
13971,"""Caldera de la Rilla""",408,79.04%,3012,"""Lanzarote,Spain,Africa,Europe"""
13972,"""Mt. Torquemada""",407,72.08%,2150,"""California,UnitedStates,NorthAmerica"""
13973,"""Point Reyes Hill""",407,86.85%,13261,"""California,UnitedStates,NorthAmerica"""
13974,"""The Wrekin""",407,91.45%,36903,"""England,Europe"""
13975,"""Asselstein""",406,89.26%,8042,"""RheinlandPfalz,Germany,Europe"""
13976,"""Mt LamLam""",406,89.01%,38672,"""Agat,Guam,Other"""
13977,"""Mt Egbert""",405,83.1%,12583,"""NewYork,UnitedStates,NorthAmerica"""
13978,"""Deadman's Hill""",405,84.82%,17577,"""Michigan,UnitedStates,NorthAmerica"""
13979,"""Caldera Santa Catalina""",405,77.48%,6065,"""Lanzarote,Spain,Africa,Europe"""
13980,"""Helm Crag""",405,76.2%,7683,"""UnitedKingdom,Europe"""
13981,"""Brockway Mountain""",405,80.49%,17767,"""Michigan,UnitedStates,NorthAmerica"""
13982,"""North Uncanoonuc""",404,76.66%,50328,"""NewHampshire,UnitedStates,NorthAmerica"""
13983,"""Mt McKnight""",402,0%,5783,"""Montana,UnitedStates,NorthAmerica"""
13984,"""Mount Baldy (Mt. Lookout)""",402,81.18%,33996,"""Michigan,UnitedStates,NorthAmerica"""
13985,"""Mount Obama (Once Boggy Peak)""",402,76.66%,24374,"""AntiguaandBarbuda,NorthAmerica"""
13986,"""South Uncanoonuc""",401,72.08%,20982,"""NewHampshire,UnitedStates,NorthAmerica"""
13987,"""Parker Mountain""",401,70.93%,18553,"""NewHampshire,UnitedStates,NorthAmerica"""
13988,"""Alger Alp (""Little Baldy"")""",401,84.27%,13524,"""Washington,UnitedStates,NorthAmerica"""
13989,"""San Bruno Mountain""",401,79.58%,13701,"""California,UnitedStates,NorthAmerica"""
13990,"""Mudlick Mountain""",400,79.78%,19732,"""Missouri,UnitedStates,NorthAmerica"""
13991,"""Fixin""",400,86.14%,7893,"""Bourgogne,France,Europe"""
13992,"""Hatta Crag""",400,76.66%,8881,"""Oman,Asia"""
13993,"""Katerfelsen""",400,82.71%,4921,"""RheinlandPfalz,Germany,Europe"""
13994,"""Bàntowafels - Eremitenfels""",400,85.36%,2948,"""Meteora,Thessaly,Greece,Europe"""
13995,"""Yellow House""",400,83.1%,3177,"""RasAlKhaimah,UnitedArabEmirates,Asia"""
13996,"""Storm King""",400,84.96%,17139,"""NewYork,UnitedStates,NorthAmerica"""
13997,"""Türkenkopf""",400,74.6%,3857,"""Saxony,Germany,Europe"""
13998,"""Ziegenrückturm""",400,77.16%,3492,"""Saxony,Germany,Europe"""
13999,"""Kleine Gans""",400,78.88%,5145,"""Saxony,Germany,Europe"""
14000,"""Auxier Ridge""",399,81.18%,7639,"""Kentucky,UnitedStates,NorthAmerica"""
14001,"""Silver Mountain""",399,83.69%,22306,"""Michigan,UnitedStates,NorthAmerica"""
14002,"""Buzzard Rocks (Elizabeth Furnace)""",399,78.27%,6116,"""Virginia,UnitedStates,NorthAmerica"""
14003,"""Shepherds Mountain-Turner Ridge""",399,92.32%,6327,"""Ohio,UnitedStates,NorthAmerica"""
14004,"""Bear Mountain""",398,83.08%,39562,"""NewYork,UnitedStates,NorthAmerica"""
14005,"""Buzzard Hill""",397,76.66%,6324,"""Virginia,UnitedStates,NorthAmerica"""
14006,"""Bearfort Mountain""",396,74.3%,6763,"""NewJersey,UnitedStates,NorthAmerica"""
14007,"""Raven Rock""",396,78.27%,22247,"""Maryland,UnitedStates,NorthAmerica"""
14008,"""Pão de Açucar (Sugar Loaf)""",396,82.47%,11250,"""RiodeJaneiro,Brazil,SouthAmerica"""
14009,"""Cerro San Luis Obispo""",394,76.66%,10725,"""California,UnitedStates,NorthAmerica"""
14010,"""Fortuna Mountain""",393,83.09%,12980,"""California,UnitedStates,NorthAmerica"""
14011,"""Highwire (Haywire Ridge)""",393,76.43%,3176,"""Washington,UnitedStates,"""
14012,"""Boy Scout Ledges""",393,81.18%,6490,"""Maryland,UnitedStates,NorthAmerica"""
14013,"""An Sgurr""",393,87.65%,7556,"""TheInnerHebrideas,Scotland,Europe"""
14014,"""Gromnik""",393,80.88%,3236,"""DolnyŚląsk,Poland,Europe"""
14015,"""The Rattlesnakes""",393,73.59%,13058,"""NewHampshire,UnitedStates,NorthAmerica"""
14016,"""Hirtsfels""",392,71.06%,2890,"""RhinelandPalatinate,Germany,Europe"""
14017,"""Lebersteine""",391,83.69%,5547,"""RheinlandPfalz,Germany,Europe"""
14018,"""Sugarloaf Mountain""",391,84.66%,28543,"""Maryland,UnitedStates,NorthAmerica"""
14019,"""Black Mountain""",390,71.06%,8580,"""Vermont,UnitedStates,NorthAmerica"""
14020,"""Upper West View (5.5-5.11d)""",390,72.08%,1088,"""UnitedStates,NorthAmerica"""
14021,"""Bald Mountain, Camden""",390,79.53%,25855,"""Maine,UnitedStates,NorthAmerica"""
14022,"""Middle Earth (5.3-5.12a)""",390,81.84%,7454,"""Maryland,UnitedStates,NorthAmerica"""
14023,"""Bordeaux Mountain""",389,73.59%,5046,"""StJohn,UnitedStates,NorthAmerica"""
14024,"""Table Rock""",389,82.48%,26651,"""Pennsylvania,UnitedStates,NorthAmerica"""
14025,"""Mount Erie""",388,85.35%,48381,"""Washington,UnitedStates,NorthAmerica"""
14026,"""Sweeney Ridge""",387,84.27%,3262,"""California,UnitedStates,NorthAmerica"""
14027,"""Mount Toby""",387,74.24%,47886,"""Massachusetts,UnitedStates,NorthAmerica"""
14028,"""Mugu Peak""",386,84.94%,24018,"""California,UnitedStates,NorthAmerica"""
14029,"""Dorr Mountain""",386,75.81%,17652,"""Maine,UnitedStates,NorthAmerica"""
14030,"""Wildcat Mound (Clark County)""",385,81.18%,7621,"""Wisconsin,UnitedStates,NorthAmerica"""
14031,"""Montaña del Cuervo / Montaña de las Lapas""",385,77.48%,2562,"""Lanzarote,Spain,Africa,Europe"""
14032,"""Saqqaarsik""",384,76.53%,4623,"""Greenland,Other"""
14033,"""Breakneck Ridge""",384,88.72%,72275,"""NewYork,UnitedStates,NorthAmerica"""
14034,"""Lower West View Slabs (5.2-5.7 PG)""",384,72.08%,1385,"""Maryland,UnitedStates,NorthAmerica"""
14035,"""Roc Trevezel""",384,74.92%,4337,"""Brittany,France,Europe"""
14036,"""Chumash Peak""",383,76.66%,12497,"""California,UnitedStates,NorthAmerica"""
14037,"""Hoosier Hill""",383,92.84%,73014,"""Indiana,UnitedStates,NorthAmerica"""
14038,"""Pole Steeple""",381,85.36%,60552,"""Pennsylvania,UnitedStates,NorthAmerica"""
14039,"""Ely's Peak""",381,86.85%,36055,"""Minnesota,UnitedStates,NorthAmerica"""
14040,"""Pemetic Mountain""",380,75.8%,11937,"""Maine,UnitedStates,NorthAmerica"""
14041,"""Walla Crag""",379,77.16%,3849,"""UnitedKingdom,Europe"""
14042,"""Mazinaw Rock""",379,81.84%,13108,"""CloyneOntario,BonEchoProvincialPark,Canada,--"""
14043,"""Sleeping Giant (Nonou Mountain)""",378,86.37%,21070,"""Hawaii,UnitedStates,NorthAmerica"""
14044,"""Monte Brione""",378,78.27%,7003,"""Italy,Europe"""
14045,"""Wernersberger Geiersteine""",377,88.12%,5469,"""RheinlandPfalz,Germany,Europe"""
14046,"""Bavariafels""",377,83.1%,5904,"""RheinlandPfalz,Germany,Europe"""
14047,"""Charles Mound""",376,93.34%,116232,"""Illinois,UnitedStates,NorthAmerica"""
14048,"""Mount Baldy""",376,80.19%,4123,"""Oregon,UnitedStates,NorthAmerica"""
14049,"""Oberhäuser Grat""",375,79.04%,3641,"""RheinlandPfalz,Germany,Europe"""
14050,"""Dundee Mountain""",375,81.18%,3392,"""Wisconsin,UnitedStates,NorthAmerica"""
14051,"""Schafsfelsen""",374,79.78%,6122,"""RheinlandPfalz,Germany,Europe"""
14052,"""Rothenfels""",374,73.06%,3103,"""RhinelandPalatinate,Germany,Europe"""
14053,"""Clark's Mountain (Tillamook Head)""",373,80.69%,7114,"""Oregon,UnitedStates,NorthAmerica"""
14054,"""Mt. Teurafaatiu""",372,77.69%,4058,"""Maupiti,France,Oceana"""
14055,"""Christoffelberg""",372,80.34%,15849,"""Curacao,Netherlands,SouthAmerica"""
14056,"""Hogback Mountain""",372,85.36%,49088,"""Michigan,UnitedStates,NorthAmerica"""
14057,"""Spirit Mound""",372,88.61%,5259,"""SouthDakota,UnitedStates,NorthAmerica"""
14058,"""Picacho de los Barriles""",372,86.07%,9574,"""BajaCaliforniaSur,Mexico,NorthAmerica"""
14059,"""Elk Mound""",372,79.04%,2459,"""Wisconsin,UnitedStates,"""
14060,"""Spirkelbacher Rauhfels""",371,84.15%,6681,"""RheinlandPfalz,Germany,Europe"""
14061,"""Cascade Head""",371,76.65%,16428,"""Oregon,UnitedStates,NorthAmerica"""
14062,"""Levis Mound""",370,79.04%,5365,"""Wisconsin,"""
14063,"""Sugarloaf (Minnesota)""",370,79.04%,2894,"""Minnesota,UnitedStates,NorthAmerica"""
14064,"""Sternfels""",370,76.66%,5227,"""RheinlandPfalz,Germany,Europe"""
14065,"""Moutti tis Sotiras""",370,81.18%,7604,"""Cyprus,Europe,Asia"""
14066,"""Three Lakes Hill""",369,78.27%,4376,"""Washington,UnitedStates,NorthAmerica"""
14067,"""Kohelepelepe (Koko Crater HP or Puu Mai)""",368,78.27%,12228,"""Hawaii,UnitedStates,NorthAmerica"""
14068,"""Hoven""",368,87.31%,3788,"""Gimsøy,Lofoten,Nordland,Norway,Europe"""
14069,"""Schulerturm / Drachenfels""",368,81.72%,6754,"""RheinlandPfalz,Germany,Europe"""
14070,"""Nuttby Mountain, Nova Scotia""",367,76.48%,8826,"""NovaScotia,Canada,NorthAmerica"""
14071,"""Flagstaff Hill""",366,76.57%,4149,"""TrinidadandTobago,SouthAmerica"""
14072,"""Bonticou Crag""",366,80.29%,19936,"""NewYork,UnitedStates,NorthAmerica"""
14073,"""Cave Hill (Binn Uamha)""",366,79.04%,11576,"""NorthernIreland,Europe"""
14074,"""Hughes Mountain""",366,82.19%,6933,"""Missouri,UnitedStates,NorthAmerica"""
14075,"""Altoona Hill""",366,79.78%,4883,"""Washington,UnitedStates,NorthAmerica"""
14076,"""Seelenfelsen""",364,79.21%,5378,"""RheinlandPfalz,Germany,Europe"""
14077,"""Kwaay Paay Peak""",364,72.04%,11711,"""California,UnitedStates,NorthAmerica"""
14078,"""Tibrogargan""",364,90.48%,15312,"""Queensland,Australia,Australia/Oceana"""
14079,"""Eagle Bluff""",363,69.39%,4155,"""Wisconsin,UnitedStates,NorthAmerica"""
14080,"""Roche-a-Cri""",361,79.04%,3348,"""Wisconsin,"""
14081,"""Mount Yasur""",361,85.87%,16846,"""Vanuatu,Oceana"""
14082,"""Conic Hill""",361,85.36%,10557,"""Scotland,Europe"""
14083,"""Leavenworth Area Climbs""",360,88.61%,48670,"""Washington,UnitedStates,NorthAmerica"""
14084,"""Heidenpfeiler (Schlüsselfels)""",359,79.78%,4870,"""RheinlandPfalz,Germany,Europe"""
14085,"""Weiherwände""",358,82.16%,3764,"""RheinlandPfalz,Germany,Europe"""
14086,"""Engelmannsfels""",357,83.9%,4755,"""RheinlandPfalz,Germany,Europe"""
14087,"""Chimney Rocks / White Mt.""",356,79.78%,18530,"""Pennsylvania,UnitedStates,NorthAmerica"""
14088,"""Long Mtn.""",354,78.68%,9917,"""NewYork,UnitedStates,NorthAmerica"""
14089,"""Mount Molly""",354,74.01%,3025,"""Washington,UnitedStates,NorthAmerica"""
14090,"""Perrot Ridge &amp; Reed's Peak""",353,78.27%,2292,"""Wisconsin,UnitedStates,"""
14091,"""Cathedral Ledge""",352,80.49%,39987,"""NewHampshire,UnitedStates,NorthAmerica"""
14092,"""Heidenkammern (Buchkammerfels)""",352,79.66%,5176,"""RheinlandPfalz,Germany,Europe"""
14093,"""Chicken Breast Bluff""",351,70.8%,2521,"""Wisconsin,UnitedStates,NorthAmerica"""
14094,"""Kirkjuboreyn""",351,74.01%,2876,"""faroeislands,Denmark,Other"""
14095,"""Bald Hill SW0.5 - Cass County High Point""",351,71.86%,8510,"""Michigan,UnitedStates,NorthAmerica"""
14096,"""Bernardo Mountain""",351,81.18%,26543,"""California,UnitedStates,NorthAmerica"""
14097,"""Little Mountain""",351,81.84%,14163,"""Michigan,UnitedStates,NorthAmerica"""
14098,"""Pochuck Mountain""",350,77.48%,21673,"""NewJersey,UnitedStates,NorthAmerica"""
14099,"""Königstein Fortress/ Festung Königstein""",350,77.48%,3581,"""Saxon,Germany,"""
14100,"""Aniča kuk Stup""",350,87.76%,5638,"""Velebit,Croatia,Europe"""
14101,"""Honigfels""",350,77.35%,4108,"""RheinlandPfalz,Germany,Europe"""
14102,"""Sveti Vid""",349,92.85%,14804,"""PagIsland,NorthAdriatic,Croatia,Europe"""
14103,"""Krakatau""",348,89.77%,21268,"""WestJawa,Indonesia,Asia"""
14104,"""Bald Hill (Marin County)""",348,86.85%,15560,"""California,UnitedStates,NorthAmerica"""
14105,"""Aldrich Butte""",348,79.04%,3745,"""Oregon,UnitedStates,NorthAmerica"""
14106,"""Eckturm""",347,76.81%,2832,"""RheinlandPfalz,Germany,Europe"""
14107,"""French Benchmark - Barry County High Point""",347,75.6%,7083,"""Michigan,UnitedStates,NorthAmerica"""
14108,"""Maiden Rock""",346,79.78%,191,"""Wisconsin,UnitedStates,NorthAmerica"""
14109,"""Hochstein""",345,79.99%,7536,"""RheinlandPfalz,Germany,Europe"""
14110,"""Dzyarzhynskaya Hara""",344,74.01%,4636,"""Belarus,Europe"""
14111,"""Mill Bluff""",344,83.69%,2887,"""Wisconsin,UnitedStates,NorthAmerica"""
14112,"""Oak Mountain""",343,83.1%,11346,"""Alabama,UnitedStates,NorthAmerica"""
14113,"""Skagit Gadget""",341,72.08%,2318,"""Washington,UnitedStates,NorthAmerica"""
14114,"""Holder Knob""",341,77.48%,1563,"""Washington,UnitedStates,NorthAmerica"""
14115,"""Marshall Hill (De Leo Wall)""",341,77.48%,6840,"""Washington,UnitedStates,NorthAmerica"""
14116,"""Várgesztes""",340,75.81%,9022,"""Hungary,Europe"""
14117,"""Heidelsburg""",340,77.48%,4585,"""RheinlandPfalz,Germany,Europe"""
14118,"""Napoleon""",340,83.5%,4748,"""RheilandPfalz,Germany,Europe"""
14119,"""Hillaby""",340,74.51%,18999,"""StAndrew,Barbados,NorthAmerica"""
14120,"""Drei Puppen""",339,86.06%,3789,"""RheinlandPfalz,Germany,Europe"""
14121,"""Lauterschwaner Rappenfelsen""",338,79.78%,5099,"""RheinlandPfalz,Germany,Europe"""
14122,"""Wyalusing Ridges""",338,84.82%,5202,"""Wisconsin,UnitedStates,NorthAmerica"""
14123,"""Castle Mound""",337,78.27%,4076,"""Wisconsin,UnitedStates,NorthAmerica"""
14124,"""North Pawtuckaway""",336,73.06%,4292,"""NewHampshire,UnitedStates,NorthAmerica"""
14125,"""Bare Bluff""",335,83.69%,18026,"""Michigan,UnitedStates,NorthAmerica"""
14126,"""Rogers Rock""",335,77.48%,19458,"""NewYork,UnitedStates,NorthAmerica"""
14127,"""Loughrigg Fell""",335,81.24%,10455,"""UnitedKingdom,Europe"""
14128,"""Lone Rock (Wisconsin)""",335,87.09%,8582,"""Wisconsin,UnitedStates,NorthAmerica"""
14129,"""Cloud Splitter""",333,88.82%,22525,"""Kentucky,UnitedStates,NorthAmerica"""
14130,"""Peñon de Ifach""",332,82.15%,15367,"""Alicante,Spain,Europe"""
14131,"""Capu Rossu""",331,79.04%,9838,"""Corse,France,Europe"""
14132,"""Glover Mountain""",329,74.92%,1959,"""Washington,UnitedStates,NorthAmerica"""
14133,"""Petenwell Rock""",328,79.78%,628,"""Wisconsin,UnitedStates,NorthAmerica"""
14134,"""Oszoly""",328,82.48%,5480,"""Hungary,Europe"""
14135,"""Hazard Peak""",328,79.04%,1572,"""California,UnitedStates,NorthAmerica"""
14136,"""Fisk Knob - Kent County High Point""",328,74.92%,13655,"""Michigan,UnitedStates,NorthAmerica"""
14137,"""Rotenfels / Nahe""",327,85.87%,14168,"""Rheinhessen,Germany,Europe"""
14138,"""Three Tree Rock""",325,0%,804,"""Greece,Europe"""
14139,"""""Buckelew Ridge""""",325,85.26%,2730,"""California,UnitedStates,NorthAmerica"""
14140,"""Amagat Peak""",325,75.81%,3126,"""Alaska,UnitedStates,NorthAmerica"""
14141,"""San Pedro Mountain (San Mateo County)""",325,83.1%,10048,"""California,UnitedStates,NorthAmerica"""
14142,"""Guadalupe Rock""",324,89.39%,16830,"""California,UnitedStates,NorthAmerica"""
14143,"""Red Hill""",324,83.69%,14146,"""California,UnitedStates,NorthAmerica"""
14144,"""Riverside Mountain""",323,69.37%,988,"""NewYork,UnitedStates,NorthAmerica"""
14145,"""Morro do Pico""",323,74.01%,8774,"""FernandodeNoronha,Brazil,SouthAmerica"""
14146,"""Champlain Mountain""",322,79.78%,16498,"""Maine,UnitedStates,NorthAmerica"""
14147,"""San Pedro Mountain (Marin County)""",322,80.94%,9374,"""California,UnitedStates,NorthAmerica"""
14148,"""North San Pablo Ridge""",322,86.37%,6233,"""California,UnitedStates,NorthAmerica"""
14149,"""Vaalserberg""",322,89.03%,29457,"""Limburg,Belgium,Germany,Netherlands,Europe"""
14150,"""Wehlenfels""",321,77.48%,5363,"""RheinlandPfalz,Germany,Europe"""
14151,"""Whakaari/White Island""",321,88.61%,6713,"""BayofPlenty,NewZealand,Oceana"""
14152,"""Saffres""",320,82.04%,11057,"""Bourgogne,France,Europe"""
14153,"""Kreuzfels""",320,77.48%,2937,"""RheinlandPfalz,Germany,Europe"""
14154,"""Turzii Gorge (Cheile Turzii)""",320,93.35%,19129,"""Transylvania,Romania,Europe"""
14155,"""Salzwooger Teufelstisch""",320,81.73%,5150,"""RheinlandPfalz,Germany,Europe"""
14156,"""Drei Steine""",320,80.83%,3062,"""RheinlandPfalz,Germany,Europe"""
14157,"""Roseberry Topping""",320,78.05%,13355,"""NorthYorkshire,England,Europe"""
14158,"""Minong Ridge""",319,81.18%,7599,"""Michigan,UnitedStates,NorthAmerica"""
14159,"""Browns Mountain""",319,84.27%,9037,"""SouthCarolina,UnitedStates,NorthAmerica"""
14160,"""Sugarloaf  (Fidalgo Island)""",318,74.92%,8790,"""Washington,UnitedStates,NorthAmerica"""
14161,"""Lämmerfelsen""",318,86.85%,8854,"""RheinlandPfalz,Germany,Europe"""
14162,"""Denk Mountain""",317,0%,526,"""California,UnitedStates,NorthAmerica"""
14163,"""Hornsteine""",317,84.17%,4416,"""RheinlandPfalz,Germany,Europe"""
14164,"""Backelstein""",317,84.82%,5725,"""RheinlandPfalz,Germany,Europe"""
14165,"""Temple Hill""",316,77.48%,6690,"""California,UnitedStates,NorthAmerica"""
14166,"""Eiloechelfelsen""",315,81.18%,3028,"""RheinlandPfalz,Germany,Europe"""
14167,"""Outcrop Tower""",315,71.06%,970,"""Greece,Europe"""
14168,"""Nahmakanta Crags""",314,93.35%,5645,"""Maine,UnitedStates,NorthAmerica"""
14169,"""Kasatochi Volcano""",314,75.61%,4106,"""Alaska,UnitedStates,NorthAmerica"""
14170,"""Dixon Lake""",314,81.18%,11856,"""California,UnitedStates,NorthAmerica"""
14171,"""Lewis Hill""",314,81.18%,10804,"""California,UnitedStates,NorthAmerica"""
14172,"""Fisher Ridge""",312,76.66%,5911,"""Pennsylvania,UnitedStates,NorthAmerica"""
14173,"""Gaizinkalns""",311,87.76%,22338,"""Vidzeme,Latvia,Europe"""
14174,"""Luger Friedrich""",310,84.72%,5322,"""RheinlandPfalz,Germany,Europe"""
14175,"""Bruchweiler Geierstein""",309,76.66%,5385,"""RheinlandPfalz,Germany,Europe"""
14176,"""Platts Lookout (Cherry Hill)""",308,77.48%,3094,"""Washington,UnitedStates,NorthAmerica"""
14177,"""Pinnacle Mountain""",308,82.48%,16957,"""Arkansas,UnitedStates,NorthAmerica"""
14178,"""Rabensteine""",307,80.96%,3749,"""RheinlandPfalz,Germany,Europe"""
14179,"""Nordkapp (North Cape)""",307,81.84%,11082,"""Norway,Europe"""
14180,"""Kumbtfels""",307,83.58%,4730,"""RheinlandPfalz,Germany,Europe"""
14181,"""Orcas Knob (Turtlehead)""",306,73.06%,3442,"""UnitedStates,NorthAmerica"""
14182,"""Mynydd Dinas""",305,87.31%,9724,"""Wales,Europe"""
14183,"""Sail Rock""",305,70.59%,778,"""Greece,Europe"""
14184,"""Agathla Tower""",305,75.38%,4147,"""Washington,UnitedStates,NorthAmerica"""
14185,"""Osio Rock""",305,74.01%,9974,"""NewJersey,UnitedStates,NorthAmerica"""
14186,"""Bec de Sormiou""",300,89.01%,5786,"""Provence,France,Europe"""
14187,"""Strackfelsen""",300,76.53%,2496,"""RheinlandPfalz,Germany,Europe"""
14188,"""El Chorro""",300,83.69%,13313,"""Málaga,Spain,Europe"""
14189,"""Siegenfelder Platte""",300,85.36%,5798,"""Austria,Europe"""
14190,"""Vieux Chateau""",300,82.11%,5919,"""Bourgogne,France,Europe"""
14191,"""Mizzi Langer Wand""",300,76.41%,5922,"""Vienna,Austria,Europe"""
14192,"""Kuhfels, Eselsfels""",300,85.87%,4383,"""RheinlandPfalz,Germany,Europe"""
14193,"""Mittlere Deichenwand""",300,85.17%,4768,"""RheinlandPfalz,Germany,Europe"""
14194,"""Svolværgeita""",300,83.99%,40938,"""Nordland,Norway,Europe"""
14195,"""Erfweiler Rappenwand""",298,83.1%,5907,"""RheinlandPfalz,Germany,Europe"""
14196,"""King Philip Mountain""",297,77.48%,28682,"""Connecticut,UnitedStates,NorthAmerica"""
14197,"""Mt. Simon""",297,81.84%,10299,"""Wisconsin,UnitedStates,NorthAmerica"""
14198,"""Wildcat Ledge (Allens Mountain)""",296,76.34%,4034,"""Virginia,UnitedStates,NorthAmerica"""
14199,"""Oak Hill""",296,74.92%,28809,"""NewHampshire,UnitedStates,NorthAmerica"""
14200,"""Wolf Ridge""",296,83.75%,5953,"""California,UnitedStates,NorthAmerica"""
14201,"""Paradise Point (Flag Hill)""",295,74.92%,3705,"""VirginIslands(StThomas),UnitedStates,NorthAmerica"""
14202,"""Mount Philo""",295,72.84%,25319,"""Vermont,UnitedStates,NorthAmerica"""
14203,"""Aukštojas Hill""",294,0%,919,"""Europe"""
14204,"""Mt. Caesar""",293,75.81%,13767,"""NewHampshire,UnitedStates,NorthAmerica"""
14205,"""Blue Hill""",293,81.84%,9394,"""Pennsylvania,UnitedStates,NorthAmerica"""
14206,"""Dörgicse (Kő-völgy)""",293,77.48%,7099,"""Hungary,Europe"""
14207,"""Rindsberg Westpfeiler""",292,80.25%,4283,"""RheinlandPfalz,Germany,Europe"""
14208,"""Rocca di Garda""",291,82.48%,11478,"""Veneto,Italy,Europe"""
14209,"""Castle Crag""",290,81.67%,5778,"""UnitedKingdom,Europe"""
14210,"""Retschelfelsen""",290,77.48%,3938,"""RheinlandPfalz,Germany,Europe"""
